Doc_ID,Topic_Number,Topic-Labe;,Topic_Percent
sc13-4_010,2,school education schools,24.5
sc14-1_010,2,school education schools,24.2
sc02-1_005,2,school education schools,23.9
sc13-3_011,2,school education schools,23.5
sc05-4_005,2,school education schools,23.1
sc25-1-4_014,2,school education schools,22.8
sc12-3_006,2,school education schools,22.7
sc05-2_007,2,school education schools,22.7
sc14-3_005,2,school education schools,21.6
sc05-6_008,3,land farmers farm,60.2
sc06-5_007,3,land farmers farm,58.4
sc11-2_013,3,land farmers farm,57.7
sc05-4_007,3,land farmers farm,51.1
sc09-5_003,3,land farmers farm,49.9
sc11-4_010,3,land farmers farm,49.6
sc10-4_003,3,land farmers farm,48.4
sc02-3_010,3,land farmers farm,46.7
sc08-6_003,3,land farmers farm,45.7
sc01-10_003,3,land farmers farm,45.4
sc10-3_004,3,land farmers farm,45.1
sc10-2_008,3,land farmers farm,44.9
sc16-1_011,3,land farmers farm,42.9
sc01-6_007,3,land farmers farm,42.4
sc21-3_008,3,land farmers farm,41.0
sc01-6_005,3,land farmers farm,40.6
sc01-6_johnston.010,3,land farmers farm,39.0
sc05-6_007,3,land farmers farm,38.9
sc02-1_006,3,land farmers farm,38.0
sc01-6_013,3,land farmers farm,37.7
sc10-3_006,3,land farmers farm,37.3
sc10-2_002,3,land farmers farm,36.6
sc10-4_010,3,land farmers farm,36.5
sc10-4_012,3,land farmers farm,36.0
sc11-4_006,3,land farmers farm,34.6
sc10-5_015,3,land farmers farm,34.5
sc09-5_005,3,land farmers farm,34.0
sc06-6_003,3,land farmers farm,33.1
sc04-3_009,3,land farmers farm,32.3
sc11-4_015,3,land farmers farm,31.1
sc09-3_004,3,land farmers farm,31.0
sc02-4_009,3,land farmers farm,30.4
sc06-4_007,3,land farmers farm,30.0
sc09-1_006,3,land farmers farm,29.1
sc11-2_014,3,land farmers farm,28.8
sc07-3_017,3,land farmers farm,27.3
sc15-2_011,3,land farmers farm,26.1
sc01-5_009,3,land farmers farm,23.9
sc10-2_014,3,land farmers farm,23.8
sc06-2_008,3,land farmers farm,22.8
sc01-7_011,3,land farmers farm,21.8
sc09-5_004,3,land farmers farm,21.8
sc08-3_008,3,land farmers farm,21.6
sc09-4_004,3,land farmers farm,20.7
sc20-4_006,3,land farmers farm,20.6
sc04-3_007,3,land farmers farm,20.4
sc01-6_006,3,land farmers farm,14.8
sc21-3_010,3,land farmers farm,13.9
sc01-6_004,3,land farmers farm,11.8
sc03-2_009,3,land farmers farm,11.2
sc20-4_025,4,cultural music culture,57.6
sc17-1_003,4,cultural music culture,54.1
sc10-6_007,4,cultural music culture,52.5
sc08-3_009,4,cultural music culture,52.1
sc05-4_003,4,cultural music culture,51.3
sc05-1_003,4,cultural music culture,51.3
sc10-1_005,4,cultural music culture,48.6
sc11-4_009,4,cultural music culture,47.7
sc18-1_012,4,cultural music culture,45.1
sc21-1_012,4,cultural music culture,44.7
sc08-2_008,4,cultural music culture,44.4
sc06-3_005,4,cultural music culture,44.3
sc14-1_003,4,cultural music culture,44.2
sc14-4_003,4,cultural music culture,43.2
sc10-6_f4.003,4,cultural music culture,43.0
sc14-4_005,4,cultural music culture,41.3
sc21-4_005,4,cultural music culture,40.7
sc07-2_006,4,cultural music culture,39.9
sc18-1_011,4,cultural music culture,39.4
sc20-2_017,4,cultural music culture,39.2
sc13-2_004,4,cultural music culture,39.1
sc12-4_002,4,cultural music culture,38.8
sc20-2_011,4,cultural music culture,38.2
sc01-10_008,4,cultural music culture,38.1
sc14-3_003,4,cultural music culture,37.2
sc20-2_012,4,cultural music culture,37.2
sc02-2_003,4,cultural music culture,36.6
sc14-2_005,4,cultural music culture,35.6
sc12-3_002,4,cultural music culture,35.4
sc12-4_005,4,cultural music culture,35.2
sc14-4_010,4,cultural music culture,35.0
sc10-5_003,4,cultural music culture,35.0
sc21-2_010,4,cultural music culture,33.2
sc13-2_002,4,cultural music culture,32.9
sc06-6_009,4,cultural music culture,32.7
sc09-5_009,4,cultural music culture,31.3
sc19-1_004,4,cultural music culture,30.0
sc17-3-4_008,4,cultural music culture,28.5
sc19-3-4_010,4,cultural music culture,28.4
sc23-3-4_055,4,cultural music culture,27.2
sc06-4_004,4,cultural music culture,27.1
sc14-1_002,4,cultural music culture,27.0
sc12-5_009,4,cultural music culture,26.4
sc11-5_002,4,cultural music culture,25.5
sc16-1_006,4,cultural music culture,25.0
sc21-2_008,4,cultural music culture,24.6
sc04-3_s2.004,4,cultural music culture,23.6
sc15-2_003,4,cultural music culture,22.6
sc17-2_003,4,cultural music culture,21.0
sc11-3_003,4,cultural music culture,20.9
sc08-4_sc08-3003,5,poverty poor states,86.8
sc10-6_008,5,poverty poor states,78.7
sc19-3-4_002,5,poverty poor states,75.4
sc08-1_005,5,poverty poor states,70.4
sc10-2_015,5,poverty poor states,70.0
sc20-2_003,5,poverty poor states,68.4
sc02-2_011,5,poverty poor states,66.5
sc02-3_012,5,poverty poor states,64.4
sc18-1_005,5,poverty poor states,64.1
sc04-2_005,5,poverty poor states,62.5
sc11-4_020,5,poverty poor states,56.6
sc07-1_006,5,poverty poor states,56.4
sc23-3-4_010,5,poverty poor states,53.1
sc08-1_003,5,poverty poor states,52.9
sc09-1_007,5,poverty poor states,52.2
sc02-4_003,5,poverty poor states,50.6
sc18-1_004,5,poverty poor states,50.6
sc02-7_006,5,poverty poor states,50.0
sc06-6_004,5,poverty poor states,48.2
sc08-3_005,5,poverty poor states,48.1
sc18-1_007,5,poverty poor states,47.6
sc11-2_008,5,poverty poor states,46.9
sc18-1_006,5,poverty poor states,46.5
sc01-3_009,5,poverty poor states,46.4
sc08-3_002,5,poverty poor states,45.9
sc04-3_005,5,poverty poor states,45.1
sc01-6_011,5,poverty poor states,43.4
sc18-1_003,5,poverty poor states,43.4
sc02-2_005,5,poverty poor states,43.1
sc02-6_008,5,poverty poor states,42.5
sc14-4_002,5,poverty poor states,39.9
sc06-6_005,5,poverty poor states,39.5
sc08-2_002,5,poverty poor states,38.4
sc09-4_005,5,poverty poor states,38.1
sc18-1_002,5,poverty poor states,35.7
sc08-1_004,5,poverty poor states,35.6
sc13-2_005,5,poverty poor states,35.2
sc09-3_002,5,poverty poor states,35.0
sc05-5_009,5,poverty poor states,35.0
sc15-2_002,5,poverty poor states,33.3
sc02-5_010,5,poverty poor states,31.5
sc09-5_007,5,poverty poor states,31.4
sc02-7_004,5,poverty poor states,29.9
sc09-3_006,5,poverty poor states,29.8
sc08-4_002,5,poverty poor states,28.2
sc04-4_005,5,poverty poor states,28.2
sc19-3-4_005,5,poverty poor states,27.6
sc01-7_007,5,poverty poor states,27.3
sc21-3_003,5,poverty poor states,26.1
sc11-3_002,5,poverty poor states,25.9
sc07-2_003,6,south southern book,62.9
sc12-5_007,6,south southern book,59.5
sc05-6_009,6,south southern book,56.8
sc06-2_010,6,south southern book,56.6
sc05-5_004,6,south southern book,54.7
sc01-10_006,6,south southern book,54.1
sc24-3-4_015,6,south southern book,53.2
sc15-3_005,6,south southern book,52.2
sc21-3_009,6,south southern book,51.7
sc13-4_012,6,south southern book,51.7
sc17-1_006,6,south southern book,50.9
sc13-3_006,6,south southern book,50.0
sc21-3_007,6,south southern book,49.5
sc13-2_009,6,south southern book,48.5
sc06-2_007,6,south southern book,48.2
sc12-5_003,6,south southern book,48.1
sc09-1_004,6,south southern book,46.4
sc11-2_005,6,south southern book,46.1
sc11-3_005,6,south southern book,46.1
sc16-1_009,6,south southern book,45.6
sc09-1_005,6,south southern book,45.5
sc05-4_009,6,south southern book,45.3
sc15-3_010,6,south southern book,45.2
sc09-5_012,6,south southern book,44.9
sc15-3_003,6,south southern book,44.8
sc12-2_007,6,south southern book,44.7
sc13-3_010,6,south southern book,44.5
sc17-2_007,6,south southern book,43.9
sc20-3_014,6,south southern book,43.8
sc24-1-2_007,6,south southern book,43.5
sc13-3_009,6,south southern book,43.5
sc15-3_004,6,south southern book,43.0
sc20-1_016,6,south southern book,42.4
sc02-7_002,6,south southern book,42.3
sc15-4_006,6,south southern book,42.0
sc11-5_013,6,south southern book,41.8
sc12-3_009,6,south southern book,41.7
sc09-5_013,6,south southern book,41.4
sc10-5_013,6,south southern book,41.0
sc14-1_005,6,south southern book,41.0
sc15-4_005,6,south southern book,40.4
sc10-1_004,6,south southern book,40.3
sc11-5_010,6,south southern book,39.3
sc14-2_006,6,south southern book,39.0
sc22-1_020,6,south southern book,38.8
sc07-3_007,6,south southern book,37.5
sc04-3_002,6,south southern book,37.0
sc16-1_007,6,south southern book,36.4
sc01-1_002,6,south southern book,36.1
sc14-1_011,6,south southern book,35.8
sc01-2_006,7,good work home,79.4
sc07-3_008,7,good work home,76.4
sc12-4_010,7,good work home,71.3
sc21-3_010,7,good work home,64.9
sc12-4_003,7,good work home,63.8
sc10-5_002,7,good work home,62.8
sc14-2_004,7,good work home,62.8
sc12-2_006,7,good work home,61.1
sc01-6_014,7,good work home,60.1
sc01-5_007,7,good work home,59.9
sc21-2_011,7,good work home,58.9
sc10-2_010,7,good work home,58.4
sc02-7_008,7,good work home,56.7
sc05-6_006,7,good work home,53.5
sc16-2_004,7,good work home,53.5
sc19-1_003,7,good work home,52.7
sc06-6_003,7,good work home,52.0
sc01-4_007,7,good work home,51.2
sc12-4_008,7,good work home,50.8
sc07-5_004,7,good work home,48.5
sc02-8_004,7,good work home,47.6
sc09-2_003,7,good work home,46.4
sc06-4_004,7,good work home,46.2
sc14-3_005,7,good work home,46.2
sc20-4_009,7,good work home,45.9
sc11-3_004,7,good work home,45.1
sc10-2_007,7,good work home,44.5
sc10-4_009,7,good work home,44.1
sc10-4_010,7,good work home,43.4
sc01-5_005,7,good work home,43.2
sc05-5_007,7,good work home,42.9
sc12-1_003,7,good work home,42.9
sc17-3-4_011,7,good work home,42.4
sc01-1_011,7,good work home,40.3
sc10-5_013,7,good work home,39.0
sc07-5_005,7,good work home,38.8
sc09-4_004,7,good work home,38.7
sc12-2_005,7,good work home,38.3
sc10-3_005,7,good work home,38.0
sc12-4_007,7,good work home,37.8
sc05-1_007,7,good work home,36.7
sc03-1_007,7,good work home,36.2
sc06-1_011,7,good work home,35.9
sc10-1_009,7,good work home,35.4
sc11-1_003,7,good work home,35.3
sc11-5_002,7,good work home,35.2
sc16-1_004,7,good work home,34.9
sc19-3-4_008,7,good work home,34.6
sc08-2_008,7,good work home,34.5
sc13-2_005,7,good work home,34.4
sc07-3_018,8,black white blacks,51.1
sc07-1_008,8,black white blacks,50.9
sc07-2_005,8,black white blacks,49.1
sc02-7_005,8,black white blacks,47.7
sc04-3_010,8,black white blacks,46.2
sc10-5_016,8,black white blacks,44.0
sc01-7_014,8,black white blacks,41.5
sc03-1_011,8,black white blacks,41.3
sc09-5_007,8,black white blacks,40.5
sc02-3_007,8,black white blacks,39.7
sc02-8_010,8,black white blacks,39.6
sc11-2_016,8,black white blacks,39.1
sc11-4_021,8,black white blacks,38.5
sc08-2_006,8,black white blacks,38.2
sc20-2_007,8,black white blacks,38.0
sc17-3-4_007,8,black white blacks,37.1
sc11-1_002,8,black white blacks,35.4
sc02-7_007,8,black white blacks,35.3
sc02-4_006,8,black white blacks,34.4
sc01-4_006,8,black white blacks,34.3
sc12-2_008,8,black white blacks,34.1
sc05-1_005,8,black white blacks,33.9
sc07-2_004,8,black white blacks,33.1
sc02-5_005,8,black white blacks,31.8
sc04-1_014,8,black white blacks,31.5
sc19-2_007,8,black white blacks,31.2
sc11-6_003,8,black white blacks,30.8
sc04-4_009,8,black white blacks,30.7
sc24-3-4_021,8,black white blacks,30.1
sc10-1_007,8,black white blacks,28.8
sc12-5_005,8,black white blacks,28.7
sc01-3_007,8,black white blacks,28.5
sc12-2_003,8,black white blacks,28.3
sc02-6_004,8,black white blacks,27.9
sc01-6_002,8,black white blacks,27.9
sc11-1_004,8,black white blacks,27.6
sc10-3_005,8,black white blacks,27.4
sc01-3_004,8,black white blacks,27.1
sc12-2_005,8,black white blacks,25.2
sc13-3_004,8,black white blacks,22.9
sc22-2_025,8,black white blacks,22.9
sc02-6_003,8,black white blacks,22.7
sc04-1_005,8,black white blacks,22.6
sc14-2_008,8,black white blacks,22.3
sc01-2_003,8,black white blacks,21.7
sc11-6_004,8,black white blacks,21.2
sc02-3_005,8,black white blacks,21.2
sc14-3_010,8,black white blacks,20.9
sc05-1_009,8,black white blacks,20.6
sc05-4_002,8,black white blacks,20.2
sc01-9_005,9,workers union labor,54.4
sc04-6_010,9,workers union labor,49.8
sc06-5_005,9,workers union labor,49.1
sc20-4_006,9,workers union labor,47.7
sc01-7_004,9,workers union labor,46.5
sc06-5_006,9,workers union labor,45.7
sc01-9_006,9,workers union labor,45.5
sc19-3-4_009,9,workers union labor,45.0
sc23-1_002,9,workers union labor,44.1
sc01-9_004,9,workers union labor,43.4
sc19-3-4_004,9,workers union labor,43.1
sc09-1_003,9,workers union labor,41.7
sc05-1_007,9,workers union labor,41.1
sc10-2_012,9,workers union labor,40.0
sc10-1_009,9,workers union labor,37.8
sc01-9_002,9,workers union labor,36.4
sc10-1_008,9,workers union labor,36.1
sc11-6_005,9,workers union labor,35.1
sc10-2_017,9,workers union labor,34.3
sc10-3_008,9,workers union labor,33.9
sc10-3_012,9,workers union labor,33.5
sc18-2_006,9,workers union labor,33.3
sc05-2_006,9,workers union labor,33.0
sc12-1_006,9,workers union labor,31.3
sc05-1_006,9,workers union labor,30.0
sc01-9_003,9,workers union labor,29.3
sc01-3_010,9,workers union labor,29.0
sc02-3_008,9,workers union labor,27.0
sc17-3-4_013,9,workers union labor,25.9
sc23-3-4_013,9,workers union labor,25.0
sc19-3-4_005,9,workers union labor,24.4
sc02-5_010,9,workers union labor,24.0
sc01-3_008,9,workers union labor,23.0
sc08-4_015,9,workers union labor,21.2
sc10-3_013,9,workers union labor,20.7
sc04-3_007,9,workers union labor,19.6
sc09-3_003,9,workers union labor,19.4
sc10-2_005,9,workers union labor,19.4
sc22-2_3020,9,workers union labor,19.1
sc19-3-4_006,9,workers union labor,17.9
sc16-3_004,9,workers union labor,17.8
sc14-2_003,9,workers union labor,17.6
sc09-5_006,9,workers union labor,17.6
sc02-1_005,9,workers union labor,17.5
sc01-9_007,9,workers union labor,16.0
sc22-3_132,9,workers union labor,15.4
sc19-3-4_010,9,workers union labor,14.4
sc03-2_009,9,workers union labor,13.8
sc08-2_009,9,workers union labor,13.0
sc08-4_002,9,workers union labor,11.0
sc11-4_008,10,atlanta city aids,65.0
sc20-3_0010,10,atlanta city aids,60.5
sc11-2_003,10,atlanta city aids,52.9
sc18-2_004,10,atlanta city aids,45.0
sc18-2_002,10,atlanta city aids,43.9
sc10-6_011,10,atlanta city aids,43.2
sc18-2_007,10,atlanta city aids,41.5
sc16-1_006,10,atlanta city aids,40.8
sc16-2_003,10,atlanta city aids,39.2
sc01-10_007,10,atlanta city aids,38.7
sc02-2_008,10,atlanta city aids,38.6
sc20-1_015,10,atlanta city aids,38.0
sc11-2_012,10,atlanta city aids,37.6
sc19-2_003,10,atlanta city aids,35.3
sc01-2_008,10,atlanta city aids,31.1
sc06-2_002,10,atlanta city aids,31.0
sc11-5_003,10,atlanta city aids,30.2
sc18-2_009,10,atlanta city aids,29.9
sc23-3-4_002,10,atlanta city aids,29.8
sc18-2_008,10,atlanta city aids,29.1
sc11-4_019,10,atlanta city aids,29.1
sc14-3_004,10,atlanta city aids,28.7
sc06-1_010,10,atlanta city aids,28.3
sc23-3-4_009,10,atlanta city aids,28.3
sc21-2_008,10,atlanta city aids,27.2
sc01-10_002,10,atlanta city aids,26.9
sc21-4_009,10,atlanta city aids,26.8
sc03-1_007,10,atlanta city aids,26.3
sc15-3_011,10,atlanta city aids,26.3
sc02-6_005,10,atlanta city aids,25.9
sc01-2_011,10,atlanta city aids,25.5
sc21-3_002,10,atlanta city aids,25.3
sc11-2_002,10,atlanta city aids,24.9
sc11-2_004,10,atlanta city aids,24.8
sc17-2_008,10,atlanta city aids,23.1
sc24-3-4_021,10,atlanta city aids,22.9
sc03-2_009,10,atlanta city aids,22.9
sc11-2_007,10,atlanta city aids,22.6
sc02-3_006,10,atlanta city aids,22.4
sc20-2_008,10,atlanta city aids,22.0
sc04-3_007,10,atlanta city aids,21.4
sc06-1_011,10,atlanta city aids,21.2
sc13-2_007,10,atlanta city aids,21.2
sc11-6_002,10,atlanta city aids,20.6
sc21-2_012,10,atlanta city aids,20.4
sc23-3-4_008,10,atlanta city aids,20.0
sc18-2_006,10,atlanta city aids,19.4
sc13-4_011,10,atlanta city aids,19.0
sc01-10_005,10,atlanta city aids,18.9
sc23-1_009,10,atlanta city aids,18.5
sc19-1_006,11,movement civil_rights rights,49.6
sc12-3_010,11,movement civil_rights rights,47.3
sc09-3_s2.009,11,movement civil_rights rights,47.1
sc21-2_002,11,movement civil_rights rights,46.9
sc11-4_002,11,movement civil_rights rights,46.0
sc22-2_018,11,movement civil_rights rights,45.0
sc21-1_013,11,movement civil_rights rights,45.0
sc16-2_009,11,movement civil_rights rights,44.8
sc02-3_013,11,movement civil_rights rights,43.8
sc07-5_006,11,movement civil_rights rights,43.6
sc02-4_007,11,movement civil_rights rights,41.0
sc12-1_002,11,movement civil_rights rights,41.0
sc25-1-4_020,11,movement civil_rights rights,41.0
sc14-1_009,11,movement civil_rights rights,40.7
sc16-3_005,11,movement civil_rights rights,40.5
sc22-2_024,11,movement civil_rights rights,39.7
sc15-4_002,11,movement civil_rights rights,39.6
sc25-1-4_023,11,movement civil_rights rights,39.4
sc18-1_010,11,movement civil_rights rights,39.2
sc12-1_004,11,movement civil_rights rights,38.4
sc17-1_004,11,movement civil_rights rights,38.4
sc09-3_007,11,movement civil_rights rights,37.6
sc22-4_016,11,movement civil_rights rights,37.5
sc05-6_011,11,movement civil_rights rights,37.4
sc08-6_005,11,movement civil_rights rights,37.3
sc20-2_009,11,movement civil_rights rights,37.2
sc10-6_010,11,movement civil_rights rights,36.4
sc17-3-4_014,11,movement civil_rights rights,36.4
sc11-1_007,11,movement civil_rights rights,36.4
sc19-2_008,11,movement civil_rights rights,35.6
sc10-5_004,11,movement civil_rights rights,35.4
sc22-1_018,11,movement civil_rights rights,34.7
sc17-2_005,11,movement civil_rights rights,34.0
sc11-1_008,11,movement civil_rights rights,33.9
sc21-3_004,11,movement civil_rights rights,33.9
sc19-1_008,11,movement civil_rights rights,33.3
sc12-5_006,11,movement civil_rights rights,33.3
sc15-1_010,11,movement civil_rights rights,32.8
sc16-3_003,11,movement civil_rights rights,32.6
sc12-1_008,11,movement civil_rights rights,32.4
sc14-2_009,11,movement civil_rights rights,32.3
sc18-2_011,11,movement civil_rights rights,31.8
sc18-1_009,11,movement civil_rights rights,31.7
sc22-2_016,11,movement civil_rights rights,31.6
sc17-3-4_009,11,movement civil_rights rights,31.0
sc25-1-4_018,11,movement civil_rights rights,30.4
sc16-3_002,11,movement civil_rights rights,30.3
sc10-2_009,11,movement civil_rights rights,29.2
sc24-1-2_005,11,movement civil_rights rights,28.9
sc19-1_002,11,movement civil_rights rights,28.7
sc06-2_009,12,public local community,57.3
sc07-3_009,12,public local community,56.9
sc10-6_005,12,public local community,54.9
sc05-3_003,12,public local community,54.8
sc01-1_008,12,public local community,54.4
sc06-5_004,12,public local community,51.9
sc02-1_003,12,public local community,51.3
sc22-1_010,12,public local community,50.3
sc02-2_009,12,public local community,50.0
sc10-6_006,12,public local community,49.5
sc17-3-4_010,12,public local community,47.8
sc13-3_003,12,public local community,45.8
sc01-4_staff.009,12,public local community,44.7
sc06-4_005,12,public local community,44.1
sc03-1_004,12,public local community,43.7
sc02-2_007,12,public local community,43.2
sc23-3-4_007,12,public local community,39.9
sc01-1_0011,12,public local community,39.9
sc13-2_004,12,public local community,39.4
sc18-3-4_008,12,public local community,39.1
sc10-6_f3.004,12,public local community,38.3
sc18-3-4_014,12,public local community,38.1
sc18-3-4_010,12,public local community,37.7
sc01-1_0010,12,public local community,36.1
sc01-7_011,12,public local community,35.6
sc01-4_008,12,public local community,35.4
sc13-3_005,12,public local community,35.3
sc02-3_009,12,public local community,34.8
sc18-3-4_002,12,public local community,34.2
sc13-4_004,12,public local community,34.1
sc22-4_011,12,public local community,33.9
sc01-6_007,12,public local community,33.0
sc01-7_005,12,public local community,32.5
sc14-4_009,12,public local community,32.4
sc01-2_011,12,public local community,31.9
sc03-2_004,12,public local community,31.5
sc02-1_009,12,public local community,31.1
sc15-4_003,12,public local community,31.1
sc04-4_006,12,public local community,30.1
sc09-5_005,12,public local community,29.8
sc13-4_006,12,public local community,29.7
sc05-6_003,12,public local community,29.5
sc21-1_002,12,public local community,29.3
sc18-3-4_011,12,public local community,29.0
sc08-2_003,12,public local community,28.9
sc02-4_009,12,public local community,28.5
sc02-4_002,12,public local community,28.5
sc09-3_006,12,public local community,28.1
sc23-3-4_006,12,public local community,28.0
sc09-2_sc09-3009,12,public local community,28.0
sc09-3_005,13,state federal law,61.1
sc01-9_009,13,state federal law,60.7
sc06-2_003,13,state federal law,53.4
sc02-2_004,13,state federal law,50.6
sc04-6_004,13,state federal law,48.9
sc09-4_003,13,state federal law,45.7
sc11-2_004,13,state federal law,45.0
sc01-8_008,13,state federal law,44.3
sc01-1_007,13,state federal law,43.7
sc24-3-4_011,13,state federal law,42.7
sc08-3_007,13,state federal law,41.4
sc01-2_002,13,state federal law,41.1
sc02-2_006,13,state federal law,40.5
sc02-1_009,13,state federal law,39.2
sc07-1_003,13,state federal law,38.3
sc24-1-2_010,13,state federal law,38.2
sc15-1_012,13,state federal law,37.5
sc01-4_002,13,state federal law,36.8
sc04-4_006,13,state federal law,36.1
sc22-1_009,13,state federal law,34.8
sc20-1_012,13,state federal law,33.9
sc15-2_009,13,state federal law,33.7
sc21-2_006,13,state federal law,33.5
sc11-4_019,13,state federal law,33.1
sc07-1_002,13,state federal law,33.0
sc11-6_008,13,state federal law,32.5
sc01-4_005,13,state federal law,31.6
sc05-6_003,13,state federal law,31.2
sc04-4_002,13,state federal law,31.0
sc01-5_002,13,state federal law,30.8
sc01-7_006,13,state federal law,30.7
sc10-6_009,13,state federal law,29.7
sc06-5_002,13,state federal law,29.7
sc01-6_008,13,state federal law,29.2
sc18-1_002,13,state federal law,28.1
sc01-7_009,13,state federal law,27.9
sc14-4_006,13,state federal law,27.8
sc24-3-4_014,13,state federal law,27.5
sc17-1_002,13,state federal law,27.4
sc01-1_0010,13,state federal law,27.4
sc04-1_007,13,state federal law,27.1
sc12-2_004,13,state federal law,26.8
sc04-1_003,13,state federal law,26.8
sc22-1_007,13,state federal law,26.8
sc02-8_003,13,state federal law,26.6
sc01-9_007,13,state federal law,26.4
sc10-1_008,13,state federal law,26.1
sc18-3-4_011,13,state federal law,26.1
sc20-3_013,13,state federal law,25.9
sc07-5_002,13,state federal law,25.9
sc06-2_006,14,love religious family,48.3
sc07-5_007,14,love religious family,42.5
sc11-5_011,14,love religious family,39.8
sc09-5_014,14,love religious family,38.3
sc07-3_002,14,love religious family,36.9
sc05-2_005,14,love religious family,36.8
sc11-6_007,14,love religious family,35.4
sc17-1_007,14,love religious family,34.8
sc12-1_005,14,love religious family,34.8
sc05-6_010,14,love religious family,34.7
sc06-3_008,14,love religious family,33.0
sc11-6_006,14,love religious family,32.9
sc15-2_005,14,love religious family,32.3
sc15-3_007,14,love religious family,31.5
sc14-4_008,14,love religious family,31.5
sc10-6_009,14,love religious family,31.0
sc04-6_002,14,love religious family,30.3
sc15-4_007,14,love religious family,30.2
sc01-5_003,14,love religious family,29.1
sc06-1_012,14,love religious family,28.4
sc12-4_006,14,love religious family,27.3
sc06-1_007,14,love religious family,26.6
sc11-5_009,14,love religious family,26.0
sc06-6_006,14,love religious family,25.6
sc09-3_008,14,love religious family,24.9
sc04-6_011,14,love religious family,23.8
sc01-6_003,14,love religious family,23.7
sc01-1_009,14,love religious family,23.6
sc04-2_007,14,love religious family,23.4
sc16-2_008,14,love religious family,22.8
sc10-1_006,14,love religious family,22.2
sc15-4_004,14,love religious family,22.1
sc03-1_002,14,love religious family,21.7
sc21-4_006,14,love religious family,21.6
sc14-3_011,14,love religious family,21.1
sc02-6_003,14,love religious family,20.8
sc12-3_005,14,love religious family,20.3
sc08-3_010,14,love religious family,20.1
sc21-1_005,14,love religious family,19.7
sc16-2_006,14,love religious family,18.6
sc01-6_014,14,love religious family,18.0
